RC-5 Data Logger,,
User Information,RC-5 Data Logger,
Number,E189G04160,
Interval    ,0:15:0 H:M:S,
Delay Time,0.0 H,
Data Sum,29967,
Temperature Maximum,51.8°C,
Temperature Minimum,1.4°C,
Temperature Average,23.1°C,
Temperature Alarm Upper Limit,60.0°C,
Temperature Alarm Lower Limit,-30.0°C,
Start Time,2019-05-09 12:33:55,
End Time,2020-03-16 16:03:55,
Date Format,yyyy-MM-dd HH:mm:ss,
Temperature Unit,°C,
Number,Time,Temperature°C
149,2019-05-11 01:33:55,12.5
150,2019-05-11 01:48:55,12.5
151,2019-05-11 02:03:55,12.1
152,2019-05-11 02:18:55,11.9
153,2019-05-11 02:33:55,11.6
154,2019-05-11 02:48:55,11.4
155,2019-05-11 03:03:55,11.3
156,2019-05-11 03:18:55,11.2
157,2019-05-11 03:33:55,11.2
158,2019-05-11 03:48:55,11.2
159,2019-05-11 04:03:55,11.2
160,2019-05-11 04:18:55,11.2
161,2019-05-11 04:33:55,11.2
162,2019-05-11 04:48:55,11.2
163,2019-05-11 05:03:55,11
164,2019-05-11 05:18:55,11.1
165,2019-05-11 05:33:55,11
166,2019-05-11 05:48:55,10.9
167,2019-05-11 06:03:55,10.9
168,2019-05-11 06:18:55,10.8
169,2019-05-11 06:33:55,10.7
170,2019-05-11 06:48:55,10.6
171,2019-05-11 07:03:55,10.4
172,2019-05-11 07:18:55,10.4
173,2019-05-11 07:33:55,10.2
174,2019-05-11 07:48:55,10.2
175,2019-05-11 08:03:55,10.6
176,2019-05-11 08:18:55,11.3
177,2019-05-11 08:33:55,12
178,2019-05-11 08:48:55,12.9
179,2019-05-11 09:03:55,13.8
180,2019-05-11 09:18:55,14.5
181,2019-05-11 09:33:55,15.1
182,2019-05-11 09:48:55,16
183,2019-05-11 10:03:55,16.3
184,2019-05-11 10:18:55,17.1
185,2019-05-11 10:33:55,18.2
186,2019-05-11 10:48:55,18.5
187,2019-05-11 11:03:55,18.8
188,2019-05-11 11:18:55,19.1
189,2019-05-11 11:33:55,19.2
190,2019-05-11 11:48:55,19.6
191,2019-05-11 12:03:55,20.3
192,2019-05-11 12:18:55,20.8
193,2019-05-11 12:33:55,21.3
194,2019-05-11 12:48:55,22
195,2019-05-11 13:03:55,22.3
196,2019-05-11 13:18:55,22.5
197,2019-05-11 13:33:55,22.3
198,2019-05-11 13:48:55,22.3
199,2019-05-11 14:03:55,22.7
200,2019-05-11 14:18:55,22.3
201,2019-05-11 14:33:55,22.7
202,2019-05-11 14:48:55,23
203,2019-05-11 15:03:55,23.3
204,2019-05-11 15:18:55,23.4
205,2019-05-11 15:33:55,23.4
206,2019-05-11 15:48:55,22.8
207,2019-05-11 16:03:55,22.5
208,2019-05-11 16:18:55,22.6
209,2019-05-11 16:33:55,22.8
210,2019-05-11 16:48:55,22.5
211,2019-05-11 17:03:55,21.9
212,2019-05-11 17:18:55,21.6
213,2019-05-11 17:33:55,20.9
214,2019-05-11 17:48:55,20
215,2019-05-11 18:03:55,18.8
216,2019-05-11 18:18:55,17.5
217,2019-05-11 18:33:55,16.6
218,2019-05-11 18:48:55,16
219,2019-05-11 19:03:55,15.5
220,2019-05-11 19:18:55,15
221,2019-05-11 19:33:55,14.7
222,2019-05-11 19:48:55,14.3
223,2019-05-11 20:03:55,14
224,2019-05-11 20:18:55,13.9
225,2019-05-11 20:33:55,13.6
226,2019-05-11 20:48:55,13.4
227,2019-05-11 21:03:55,13.3
228,2019-05-11 21:18:55,13.3
229,2019-05-11 21:33:55,13.3
230,2019-05-11 21:48:55,13.2
231,2019-05-11 22:03:55,12.9
232,2019-05-11 22:18:55,12.8
233,2019-05-11 22:33:55,12.7
234,2019-05-11 22:48:55,12.5
235,2019-05-11 23:03:55,12.6
236,2019-05-11 23:18:55,12.5
237,2019-05-11 23:33:55,12.3
238,2019-05-11 23:48:55,12.2
239,2019-05-12 00:03:55,12.1
240,2019-05-12 00:18:55,12.1
241,2019-05-12 00:33:55,12
242,2019-05-12 00:48:55,11.8
243,2019-05-12 01:03:55,11.6
244,2019-05-12 01:18:55,11.6
245,2019-05-12 01:33:55,11.6
246,2019-05-12 01:48:55,11.4
247,2019-05-12 02:03:55,11.4
248,2019-05-12 02:18:55,11.2
249,2019-05-12 02:33:55,11.2
250,2019-05-12 02:48:55,11.2
251,2019-05-12 03:03:55,11.2
252,2019-05-12 03:18:55,11.2
253,2019-05-12 03:33:55,11.2
254,2019-05-12 03:48:55,11.1
255,2019-05-12 04:03:55,11
256,2019-05-12 04:18:55,11
257,2019-05-12 04:33:55,11.1
258,2019-05-12 04:48:55,11
259,2019-05-12 05:03:55,10.9
260,2019-05-12 05:18:55,10.9
261,2019-05-12 05:33:55,11
262,2019-05-12 05:48:55,11
263,2019-05-12 06:03:55,11
264,2019-05-12 06:18:55,11
265,2019-05-12 06:33:55,10.9
266,2019-05-12 06:48:55,10.8
267,2019-05-12 07:03:55,10.7
268,2019-05-12 07:18:55,10.7
269,2019-05-12 07:33:55,10.5
270,2019-05-12 07:48:55,10.6
271,2019-05-12 08:03:55,11.2
272,2019-05-12 08:18:55,12.3
273,2019-05-12 08:33:55,13.4
274,2019-05-12 08:48:55,14.5
275,2019-05-12 09:03:55,15.4
276,2019-05-12 09:18:55,16.2
277,2019-05-12 09:33:55,17.1
278,2019-05-12 09:48:55,18.2
279,2019-05-12 10:03:55,19
280,2019-05-12 10:18:55,20
281,2019-05-12 10:33:55,20.6
282,2019-05-12 10:48:55,21
283,2019-05-12 11:03:55,21.5
284,2019-05-12 11:18:55,21.7
285,2019-05-12 11:33:55,22
286,2019-05-12 11:48:55,22.4
287,2019-05-12 12:03:55,26.4
288,2019-05-12 12:18:55,30.8
289,2019-05-12 12:33:55,31.7
290,2019-05-12 12:48:55,32.5
291,2019-05-12 13:03:55,32.4
292,2019-05-12 13:18:55,32.6
293,2019-05-12 13:33:55,32.8
294,2019-05-12 13:48:55,33
295,2019-05-12 14:03:55,33.1
296,2019-05-12 14:18:55,33.1
297,2019-05-12 14:33:55,33.3
298,2019-05-12 14:48:55,33.5
299,2019-05-12 15:03:55,33.9
300,2019-05-12 15:18:55,34
301,2019-05-12 15:33:55,33.8
302,2019-05-12 15:48:55,34.1
303,2019-05-12 16:03:55,33.5
304,2019-05-12 16:18:55,33.8
305,2019-05-12 16:33:55,33
306,2019-05-12 16:48:55,32.4
307,2019-05-12 17:03:55,32.3
308,2019-05-12 17:18:55,31.7
309,2019-05-12 17:33:55,31.1
310,2019-05-12 17:48:55,30.5
311,2019-05-12 18:03:55,29.7
312,2019-05-12 18:18:55,29.2
313,2019-05-12 18:33:55,28.5
314,2019-05-12 18:48:55,28.3
315,2019-05-12 19:03:55,27.9
316,2019-05-12 19:18:55,27.7
317,2019-05-12 19:33:55,27.5
318,2019-05-12 19:48:55,27.3
319,2019-05-12 20:03:55,27
320,2019-05-12 20:18:55,27.1
321,2019-05-12 20:33:55,26.8
322,2019-05-12 20:48:55,26.5
323,2019-05-12 21:03:55,26.3
324,2019-05-12 21:18:55,26.1
325,2019-05-12 21:33:55,26
326,2019-05-12 21:48:55,25.9
327,2019-05-12 22:03:55,25.5
328,2019-05-12 22:18:55,25.4
329,2019-05-12 22:33:55,25.3
330,2019-05-12 22:48:55,25.1
331,2019-05-12 23:03:55,24.8
332,2019-05-12 23:18:55,24.7
333,2019-05-12 23:33:55,24.6
334,2019-05-12 23:48:55,24.3
335,2019-05-13 00:03:55,24.1
336,2019-05-13 00:18:55,24.1
337,2019-05-13 00:33:55,24
338,2019-05-13 00:48:55,23.8
339,2019-05-13 01:03:55,23.8
340,2019-05-13 01:18:55,23.5
341,2019-05-13 01:33:55,23.5
342,2019-05-13 01:48:55,23.5
343,2019-05-13 02:03:55,23.4
344,2019-05-13 02:18:55,23.4
345,2019-05-13 02:33:55,23.2
346,2019-05-13 02:48:55,22.9
347,2019-05-13 03:03:55,22.8
348,2019-05-13 03:18:55,22.8
349,2019-05-13 03:33:55,22.5
350,2019-05-13 03:48:55,22.5
351,2019-05-13 04:03:55,22.7
352,2019-05-13 04:18:55,22.5
353,2019-05-13 04:33:55,22.4
354,2019-05-13 04:48:55,22.4
355,2019-05-13 05:03:55,22.4
356,2019-05-13 05:18:55,22.2
357,2019-05-13 05:33:55,22.2
358,2019-05-13 05:48:55,22.1
359,2019-05-13 06:03:55,22
360,2019-05-13 06:18:55,21.8
361,2019-05-13 06:33:55,21.7
362,2019-05-13 06:48:55,21.5
363,2019-05-13 07:03:55,21.7
364,2019-05-13 07:18:55,21.7
365,2019-05-13 07:33:55,21.7
366,2019-05-13 07:48:55,22.1
367,2019-05-13 08:03:55,22.5
368,2019-05-13 08:18:55,23.5
369,2019-05-13 08:33:55,24.3
370,2019-05-13 08:48:55,25
371,2019-05-13 09:03:55,26
372,2019-05-13 09:18:55,26.9
373,2019-05-13 09:33:55,27.4
374,2019-05-13 09:48:55,28.5
375,2019-05-13 10:03:55,29.4
376,2019-05-13 10:18:55,30.2
377,2019-05-13 10:33:55,30.8
378,2019-05-13 10:48:55,31.2
379,2019-05-13 11:03:55,31.8
380,2019-05-13 11:18:55,32
381,2019-05-13 11:33:55,33
382,2019-05-13 11:48:55,33.1
383,2019-05-13 12:03:55,31.6
384,2019-05-13 12:18:55,27.1
385,2019-05-13 12:33:55,26.2
386,2019-05-13 12:48:55,26.5
387,2019-05-13 13:03:55,26.5
388,2019-05-13 13:18:55,26.3
389,2019-05-13 13:33:55,26.3
390,2019-05-13 13:48:55,26.9
391,2019-05-13 14:03:55,27.2
392,2019-05-13 14:18:55,27
393,2019-05-13 14:33:55,27.1
394,2019-05-13 14:48:55,26.7
395,2019-05-13 15:03:55,26.3
396,2019-05-13 15:18:55,26.3
397,2019-05-13 15:33:55,26.5
398,2019-05-13 15:48:55,26.4
399,2019-05-13 16:03:55,26.5
400,2019-05-13 16:18:55,26.2
401,2019-05-13 16:33:55,25.7
402,2019-05-13 16:48:55,25.2
403,2019-05-13 17:03:55,24.5
404,2019-05-13 17:18:55,23.8
405,2019-05-13 17:33:55,23.2
406,2019-05-13 17:48:55,22.2
407,2019-05-13 18:03:55,21.4
408,2019-05-13 18:18:55,20.5
409,2019-05-13 18:33:55,19.8
410,2019-05-13 18:48:55,19.3
411,2019-05-13 19:03:55,19
412,2019-05-13 19:18:55,18.7
413,2019-05-13 19:33:55,18.5
414,2019-05-13 19:48:55,18.6
415,2019-05-13 20:03:55,18.1
416,2019-05-13 20:18:55,17.6
417,2019-05-13 20:33:55,17.1
418,2019-05-13 20:48:55,16.8
419,2019-05-13 21:03:55,16.5
420,2019-05-13 21:18:55,16.2
421,2019-05-13 21:33:55,15.7
422,2019-05-13 21:48:55,15.3
423,2019-05-13 22:03:55,14.9
424,2019-05-13 22:18:55,14.7
425,2019-05-13 22:33:55,14.3
426,2019-05-13 22:48:55,14
427,2019-05-13 23:03:55,13.7
428,2019-05-13 23:18:55,13.4
429,2019-05-13 23:33:55,13.3
430,2019-05-13 23:48:55,13.1
431,2019-05-14 00:03:55,12.8
432,2019-05-14 00:18:55,12.6
433,2019-05-14 00:33:55,12.4
434,2019-05-14 00:48:55,12.1
435,2019-05-14 01:03:55,12
436,2019-05-14 01:18:55,11.9
437,2019-05-14 01:33:55,11.7
438,2019-05-14 01:48:55,11.5
439,2019-05-14 02:03:55,11.4
440,2019-05-14 02:18:55,11.2
441,2019-05-14 02:33:55,11
442,2019-05-14 02:48:55,10.8
443,2019-05-14 03:03:55,10.6
444,2019-05-14 03:18:55,10.4
445,2019-05-14 03:33:55,10.3
446,2019-05-14 03:48:55,10.1
447,2019-05-14 04:03:55,10
448,2019-05-14 04:18:55,9.9
449,2019-05-14 04:33:55,9.9
450,2019-05-14 04:48:55,9.8
451,2019-05-14 05:03:55,9.6
452,2019-05-14 05:18:55,9.5
453,2019-05-14 05:33:55,9.5
454,2019-05-14 05:48:55,9.5
455,2019-05-14 06:03:55,9.4
456,2019-05-14 06:18:55,9.5
457,2019-05-14 06:33:55,9.3
458,2019-05-14 06:48:55,9.2
459,2019-05-14 07:03:55,9.1
460,2019-05-14 07:18:55,9
461,2019-05-14 07:33:55,9
462,2019-05-14 07:48:55,9.2
463,2019-05-14 08:03:55,9.7
464,2019-05-14 08:18:55,10.5
465,2019-05-14 08:33:55,11.4
466,2019-05-14 08:48:55,12.3
467,2019-05-14 09:03:55,13.2
468,2019-05-14 09:18:55,14
469,2019-05-14 09:33:55,14.9
470,2019-05-14 09:48:55,15.7
471,2019-05-14 10:03:55,16.4
472,2019-05-14 10:18:55,17.1
473,2019-05-14 10:33:55,17.8
474,2019-05-14 10:48:55,18.4
475,2019-05-14 11:03:55,18.9
476,2019-05-14 11:18:55,19.3
477,2019-05-14 11:33:55,19.5
478,2019-05-14 11:48:55,20
479,2019-05-14 12:03:55,20.3
480,2019-05-14 12:18:55,20.2
481,2019-05-14 12:33:55,20.4
482,2019-05-14 12:48:55,20
483,2019-05-14 13:03:55,19.8
484,2019-05-14 13:18:55,20.1
485,2019-05-14 13:33:55,19.3
486,2019-05-14 13:48:55,19.7
487,2019-05-14 14:03:55,19.9
488,2019-05-14 14:18:55,20.1
489,2019-05-14 14:33:55,19.8
490,2019-05-14 14:48:55,19.8
491,2019-05-14 15:03:55,19.9
492,2019-05-14 15:18:55,19.9
493,2019-05-14 15:33:55,20.1
494,2019-05-14 15:48:55,19.9
495,2019-05-14 16:03:55,19.2
496,2019-05-14 16:18:55,19
497,2019-05-14 16:33:55,19.2
498,2019-05-14 16:48:55,18.6
499,2019-05-14 17:03:55,18.1
500,2019-05-14 17:18:55,17.7
501,2019-05-14 17:33:55,17
502,2019-05-14 17:48:55,15.9
503,2019-05-14 18:03:55,15
504,2019-05-14 18:18:55,14.6
505,2019-05-14 18:33:55,14.4
506,2019-05-14 18:48:55,14.3
507,2019-05-14 19:03:55,14.2
508,2019-05-14 19:18:55,14.2
509,2019-05-14 19:33:55,14.1
510,2019-05-14 19:48:55,14
511,2019-05-14 20:03:55,14
512,2019-05-14 20:18:55,14
513,2019-05-14 20:33:55,14
514,2019-05-14 20:48:55,14
515,2019-05-14 21:03:55,14
516,2019-05-14 21:18:55,14
517,2019-05-14 21:33:55,14
518,2019-05-14 21:48:55,14.2
519,2019-05-14 22:03:55,14.2
520,2019-05-14 22:18:55,14.3
521,2019-05-14 22:33:55,14.5
522,2019-05-14 22:48:55,14.4
523,2019-05-14 23:03:55,14.4
524,2019-05-14 23:18:55,14.6
525,2019-05-14 23:33:55,14.6
526,2019-05-14 23:48:55,14.7
527,2019-05-15 00:03:55,14.7
528,2019-05-15 00:18:55,14.7
529,2019-05-15 00:33:55,14.6
530,2019-05-15 00:48:55,14.4
531,2019-05-15 01:03:55,14.4
532,2019-05-15 01:18:55,14.3
533,2019-05-15 01:33:55,14.2
534,2019-05-15 01:48:55,14
535,2019-05-15 02:03:55,13.9
536,2019-05-15 02:18:55,13.8
537,2019-05-15 02:33:55,13.7
538,2019-05-15 02:48:55,13.5
539,2019-05-15 03:03:55,13.5
540,2019-05-15 03:18:55,13.5
541,2019-05-15 03:33:55,13.6
542,2019-05-15 03:48:55,13.6
543,2019-05-15 04:03:55,13.5
544,2019-05-15 04:18:55,13.3
545,2019-05-15 04:33:55,13
546,2019-05-15 04:48:55,12.9
547,2019-05-15 05:03:55,12.8
548,2019-05-15 05:18:55,12.7
549,2019-05-15 05:33:55,12.5
550,2019-05-15 05:48:55,12.4
551,2019-05-15 06:03:55,12.4
552,2019-05-15 06:18:55,12.2
553,2019-05-15 06:33:55,12.1
554,2019-05-15 06:48:55,12
555,2019-05-15 07:03:55,11.8
556,2019-05-15 07:18:55,11.7
557,2019-05-15 07:33:55,11.8
558,2019-05-15 07:48:55,11.9
559,2019-05-15 08:03:55,12.4
560,2019-05-15 08:18:55,13.1
561,2019-05-15 08:33:55,14.2
562,2019-05-15 08:48:55,15.4
563,2019-05-15 09:03:55,16.7
564,2019-05-15 09:18:55,17.9
565,2019-05-15 09:33:55,18.7
566,2019-05-15 09:48:55,19.6
567,2019-05-15 10:03:55,19.8
568,2019-05-15 10:18:55,20.2
569,2019-05-15 10:33:55,20.5
570,2019-05-15 10:48:55,21.2
571,2019-05-15 11:03:55,21.6
572,2019-05-15 11:18:55,21.9
573,2019-05-15 11:33:55,22.1
574,2019-05-15 11:48:55,21.9
575,2019-05-15 12:03:55,24.7
576,2019-05-15 12:18:55,29.4
577,2019-05-15 12:33:55,29.6
578,2019-05-15 12:48:55,30.5
579,2019-05-15 13:03:55,29.9
580,2019-05-15 13:18:55,29.6
581,2019-05-15 13:33:55,29.5
582,2019-05-15 13:48:55,30.3
583,2019-05-15 14:03:55,30.7
584,2019-05-15 14:18:55,30
585,2019-05-15 14:33:55,30.8
586,2019-05-15 14:48:55,29.7
587,2019-05-15 15:03:55,29.8
588,2019-05-15 15:18:55,29.5
589,2019-05-15 15:33:55,30.2
590,2019-05-15 15:48:55,30.2
591,2019-05-15 16:03:55,29.9
592,2019-05-15 16:18:55,30
593,2019-05-15 16:33:55,29.8
594,2019-05-15 16:48:55,29.2
595,2019-05-15 17:03:55,28.5
596,2019-05-15 17:18:55,29.2
597,2019-05-15 17:33:55,28.6
598,2019-05-15 17:48:55,27.7
599,2019-05-15 18:03:55,27.2
600,2019-05-15 18:18:55,26.9
601,2019-05-15 18:33:55,26.7
602,2019-05-15 18:48:55,26.6
603,2019-05-15 19:03:55,26.5
604,2019-05-15 19:18:55,26.4
605,2019-05-15 19:33:55,26.2
606,2019-05-15 19:48:55,26.2
607,2019-05-15 20:03:55,26.2
608,2019-05-15 20:18:55,26.1
609,2019-05-15 20:33:55,26.2
610,2019-05-15 20:48:55,25.8
611,2019-05-15 21:03:55,25.5
612,2019-05-15 21:18:55,25.7
613,2019-05-15 21:33:55,25.5
614,2019-05-15 21:48:55,25.5
615,2019-05-15 22:03:55,25.4
616,2019-05-15 22:18:55,25.5
617,2019-05-15 22:33:55,25.4
618,2019-05-15 22:48:55,25.1
619,2019-05-15 23:03:55,25.2
620,2019-05-15 23:18:55,24.7
621,2019-05-15 23:33:55,24.7
622,2019-05-15 23:48:55,24.7
623,2019-05-16 00:03:55,24.5
624,2019-05-16 00:18:55,24.4
625,2019-05-16 00:33:55,24.5
626,2019-05-16 00:48:55,24.5
627,2019-05-16 01:03:55,24.3
628,2019-05-16 01:18:55,23.9
629,2019-05-16 01:33:55,23.9
630,2019-05-16 01:48:55,24
631,2019-05-16 02:03:55,23.9
632,2019-05-16 02:18:55,24
633,2019-05-16 02:33:55,24.1
634,2019-05-16 02:48:55,24.1
635,2019-05-16 03:03:55,24
636,2019-05-16 03:18:55,24
637,2019-05-16 03:33:55,24
638,2019-05-16 03:48:55,24
639,2019-05-16 04:03:55,24.1
640,2019-05-16 04:18:55,24.1
641,2019-05-16 04:33:55,24
642,2019-05-16 04:48:55,24
643,2019-05-16 05:03:55,24
644,2019-05-16 05:18:55,24
645,2019-05-16 05:33:55,24
646,2019-05-16 05:48:55,23.9
647,2019-05-16 06:03:55,24
648,2019-05-16 06:18:55,24
649,2019-05-16 06:33:55,23.7
650,2019-05-16 06:48:55,23.8
651,2019-05-16 07:03:55,23.9
652,2019-05-16 07:18:55,23.9
653,2019-05-16 07:33:55,23.9
654,2019-05-16 07:48:55,23.7
655,2019-05-16 08:03:55,24
656,2019-05-16 08:18:55,24.4
657,2019-05-16 08:33:55,24.4
658,2019-05-16 08:48:55,25.1
659,2019-05-16 09:03:55,25.8
660,2019-05-16 09:18:55,26.4
661,2019-05-16 09:33:55,27
662,2019-05-16 09:48:55,27
663,2019-05-16 10:03:55,27.5
664,2019-05-16 10:18:55,28
665,2019-05-16 10:33:55,29.6
666,2019-05-16 10:48:55,30
667,2019-05-16 11:03:55,29.7
668,2019-05-16 11:18:55,29.9
669,2019-05-16 11:33:55,31.1
670,2019-05-16 11:48:55,32.1
671,2019-05-16 12:03:55,28.9
672,2019-05-16 12:18:55,24.8
673,2019-05-16 12:33:55,23.5
674,2019-05-16 12:48:55,23.9
675,2019-05-16 13:03:55,23.7
676,2019-05-16 13:18:55,23.4
677,2019-05-16 13:33:55,23.7
678,2019-05-16 13:48:55,24
679,2019-05-16 14:03:55,24.1
680,2019-05-16 14:18:55,24.3
681,2019-05-16 14:33:55,24.9
682,2019-05-16 14:48:55,25.1
683,2019-05-16 15:03:55,25.5
684,2019-05-16 15:18:55,25.4
685,2019-05-16 15:33:55,25.4
686,2019-05-16 15:48:55,25.3
687,2019-05-16 16:03:55,25.1
688,2019-05-16 16:18:55,25.4
689,2019-05-16 16:33:55,25.3
690,2019-05-16 16:48:55,24.9
691,2019-05-16 17:03:55,24.4
692,2019-05-16 17:18:55,23
693,2019-05-16 17:33:55,21.9
694,2019-05-16 17:48:55,21
695,2019-05-16 18:03:55,20.4
696,2019-05-16 18:18:55,20.1
697,2019-05-16 18:33:55,19.9
698,2019-05-16 18:48:55,19.9
699,2019-05-16 19:03:55,19.9
700,2019-05-16 19:18:55,20
701,2019-05-16 19:33:55,20
702,2019-05-16 19:48:55,20
703,2019-05-16 20:03:55,19.8
704,2019-05-16 20:18:55,19.7
705,2019-05-16 20:33:55,19.5
706,2019-05-16 20:48:55,19.3
707,2019-05-16 21:03:55,19.1
708,2019-05-16 21:18:55,19
709,2019-05-16 21:33:55,18.9
710,2019-05-16 21:48:55,18.8
711,2019-05-16 22:03:55,18.7
712,2019-05-16 22:18:55,18.6
713,2019-05-16 22:33:55,18.6
714,2019-05-16 22:48:55,18.4
715,2019-05-16 23:03:55,18.3
716,2019-05-16 23:18:55,18.2
717,2019-05-16 23:33:55,18.1
718,2019-05-16 23:48:55,18.1
719,2019-05-17 00:03:55,18
720,2019-05-17 00:18:55,17.9
